Income,Rent,Groceries,Transport,Eating_Out,Entertainment,Utilities
167.5,50.25,19.24,12.56,7.42,5.01,8.12
525.33,105.07,66.5,34.31,22.87,13.73,28.17
1180.15,177.02,136.87,76.62,43.89,47.1,91.59
478.47,71.77,71.7,25.09,11.5,15.98,21.41
280.24,84.07,37.06,14.38,13.64,9.88,17.26
359.8,71.96,51.03,22.92,12.31,9.93,23.78
132.39,26.48,14.54,6.89,4.6,5.31,7.05
583.89,116.78,62.19,38.12,22.51,13.73,43.36
729.22,145.84,83.14,42.13,22.32,34.13,49.29
250.74,75.22,35.29,17.39,10.0,9.54,11.76
247.17,49.43,27.17,15.2,9.98,8.33,12.59
445.33,89.07,50.0,26.55,21.58,11.17,26.78
253.85,50.77,34.82,20.08,6.31,9.32,13.57
341.45,68.29,47.82,22.92,12.18,9.75,25.37
1931.17,528.6405999999998,245.98,103.53,72.96,84.96259999999958,116.65
295.45,59.09,31.67,22.14,12.3,10.48,12.9
270.27,81.08,38.31,20.47,5.81,5.43,15.7
214.45,64.33,27.69,16.71,5.4,6.95,16.85
652.92,130.58,95.72,32.78,14.02,30.39,38.51
311.41,62.28,34.36,22.65,10.97,9.24,21.7
214.13,42.83,22.98,15.63,9.78,5.61,15.4
1036.03,155.4,115.3,57.39,40.95,22.74,42.51
1120.79,224.16,122.74,72.5,40.37,33.99,66.05
222.69,44.54,31.24,13.99,4.52,10.57,10.43
80.87,16.17,8.47,4.31,1.94,2.34,5.13
806.03,161.21,113.32,64.07,30.45,20.96,42.23
208.18,41.64,27.54,15.03,5.67,6.75,12.64
677.63,135.53,98.83,36.27,33.48,23.34,30.62
74.44,22.33,9.18,4.97,2.39,3.57,3.44
735.23,147.05,83.45,48.29,21.23,24.13,43.92
136.61,27.32,19.82,8.84,4.97,6.55,10.01
645.95,193.78,64.83,41.98,15.22,13.4,48.76
364.13,72.83,53.13,18.57,12.97,8.49,27.76
167.83,50.35,22.03,11.68,7.82,4.37,7.46
259.95,51.99,28.1,19.6,7.03,8.4,12.7
623.38,187.01,71.47,46.06,16.91,16.84,26.31
391.83,117.55,50.74,22.17,8.32,18.15,19.67
574.58,114.92,60.25,35.06,26.85,11.57,38.82
1749.8,349.96,180.0,128.54,76.19,84.96259999999958,94.23
103.0,15.45,12.97,7.16,3.36,3.26,7.61
1312.74,262.55,133.47,96.2,45.94,39.38,59.96
391.34,58.7,54.22,29.22,9.33,16.12,26.78
175.4,26.31,23.65,13.63,7.49,6.74,10.38
124.2,37.26,18.18,6.66,2.91,3.77,5.2
309.45,92.84,43.72,17.4,10.81,6.81,18.24
752.52,225.76,77.64,59.53,15.57,33.2,31.07
325.08,65.02,35.79,25.02,10.27,12.79,19.41
1205.96,241.19,132.69,79.89,37.55,60.25,80.58
112.75,33.82,13.77,7.68,2.56,4.04,4.51
356.54,71.31,45.4,19.68,9.99,7.25,19.33
132.18,26.44,16.28,7.72,4.03,4.77,8.28
481.55,96.31,53.62,29.51,10.0,19.32,37.66
731.88,146.38,106.67,43.91,19.07,19.75,40.82
257.11,38.57,26.19,18.75,11.19,9.96,14.94
44.82,8.96,4.55,3.52,1.84,1.35,2.95
422.11,63.32,58.23,30.45,13.32,16.97,30.86
510.55,102.11,58.33,38.79,20.17,25.17,23.35
497.47,99.49,68.25,35.12,22.97,21.99,27.24
967.51,290.25,111.22,50.92,41.16,44.86,69.27
152.82,45.85,19.61,10.14,5.38,7.31,8.2
620.35,186.1,88.88,38.36,30.08,22.22,36.12
934.59,280.38,102.22,63.49,31.4,29.01,56.44
86.77,26.03,11.79,6.17,3.52,4.21,4.64
464.9,92.98,65.35,36.67,17.75,17.94,33.22
240.51,48.1,35.76,12.88,7.57,6.74,12.69
337.27,67.45,36.95,26.01,14.2,8.92,22.75
475.44,142.63,59.46,33.52,18.94,19.38,26.2
243.79,48.76,27.96,15.99,4.95,7.77,18.25
209.67,41.93,25.53,13.04,4.46,6.02,11.11
369.97,55.5,38.23,26.45,17.23,9.95,17.14
150.85,30.17,21.83,9.08,3.14,3.68,8.59
151.02,45.31,17.52,10.78,4.71,5.18,12.03
619.93,185.98,92.65,44.73,19.52,18.79,46.37
143.61,43.08,17.52,7.96,3.38,4.89,7.07
613.48,184.05,72.21,36.26,22.02,16.87,35.77
521.22,104.24,65.26,29.73,13.3,25.37,40.5
90.51,27.15,9.68,6.72,3.21,2.2,5.96
209.36,62.81,29.8,11.26,6.89,10.13,13.45
935.79,187.16,131.38,48.63,27.4,30.87,57.03
164.21,49.26,23.18,9.62,4.87,5.69,6.95
248.29,37.24,29.98,15.1,5.65,6.29,11.94
521.0,78.15,61.45,32.79,24.5,17.34,24.56
673.72,134.74,99.67,47.49,21.61,15.69,51.3
294.38,58.88,37.8,17.63,13.92,14.42,21.42
223.21,66.96,32.24,17.0,5.46,6.95,12.71
1123.27,224.65,126.91,83.4,34.5,29.69,87.99
1446.97,289.39,184.1,89.45,69.44,61.35,114.33
787.76,236.33,105.34,60.03,35.44,23.56,38.97
385.43,115.63,40.44,28.15,16.45,14.72,18.65
188.57,37.71,27.19,13.74,5.7,4.51,8.51
185.26,55.58,22.62,13.5,3.91,6.22,9.04
546.82,109.36,76.47,31.26,14.7,15.53,36.31
503.12,100.62,70.41,26.93,23.83,21.89,33.94
1104.76,165.71,148.11,76.45,43.38,26.61,48.13
605.75,121.15,72.08,40.82,12.69,23.65,33.97
108.16,32.45,13.85,7.56,2.62,2.19,8.27
835.19,167.04,117.19,53.7,32.17,17.45,53.36
162.01,32.4,17.03,8.63,5.06,6.1,9.63
264.79,39.72,37.3,19.68,12.57,12.18,11.85
439.78,87.96,50.29,34.78,11.62,14.89,18.66
1776.92,528.6405999999998,211.28,128.08,45.57,57.93,80.77
4333.1,528.6405999999998,296.01079999999985,154.8612999999998,87.33179999999972,84.96259999999958,147.2611999999998
584.92,116.98,87.22,42.35,26.67,25.88,30.61
310.92,46.64,42.18,17.26,9.08,10.71,24.09
552.09,82.81,82.76,43.96,14.97,15.0,30.95
732.33,146.47,76.75,52.06,29.81,32.14,37.91
278.54,41.78,41.34,19.58,5.86,9.31,18.02
1513.64,302.73,168.51,94.11,50.19,36.81,102.8
432.75,86.55,43.68,31.82,21.45,9.85,32.27
536.09,107.22,59.4,39.68,15.96,26.25,38.36
613.29,122.66,66.97,41.92,23.26,24.08,43.05
504.4,100.88,69.29,40.0,17.19,13.78,24.03
704.34,140.87,94.09,46.48,32.87,24.77,35.56
219.71,43.94,25.88,13.44,4.72,9.5,10.51
230.32,46.06,25.16,12.71,10.03,10.77,12.19
149.3,29.86,17.61,9.83,4.87,5.64,10.99
511.68,102.34,75.87,28.0,10.53,24.18,30.54
671.32,201.4,77.26,44.87,25.68,22.32,43.02
519.22,155.77,69.77,33.9,19.94,23.76,35.59
1374.3,274.86,160.47,99.02,52.28,28.84,80.9
358.39,53.76,50.28,28.22,15.96,14.44,16.39
614.68,122.94,79.17,40.0,20.41,19.55,32.58
150.32,30.06,20.04,9.06,5.88,6.3,9.37
264.13,52.83,26.91,13.64,5.46,10.89,16.83
628.0,125.6,85.9,33.85,26.54,22.97,30.88
710.09,142.02,80.56,42.33,15.32,32.45,49.68
284.56,85.37,37.62,18.35,13.09,12.72,13.4
339.96,67.99,41.12,17.62,13.33,16.77,14.24
106.89,32.07,12.4,8.01,3.47,2.98,4.62
270.56,54.11,31.8,14.83,10.9,9.74,13.88
733.93,146.79,77.67,44.23,19.59,30.27,55.68
570.36,114.07,60.84,33.35,20.62,27.33,39.32
537.34,80.6,56.9,41.93,22.55,24.73,25.31
374.62,112.39,50.09,24.99,8.46,13.07,19.39
362.04,72.41,41.28,19.76,8.11,12.77,15.93
212.27,63.68,31.41,11.67,9.95,5.33,15.56
629.65,94.45,88.8,50.35,28.62,28.99,34.1
504.15,151.25,59.12,32.55,15.18,14.51,24.0
533.64,106.73,67.13,35.9,21.6,22.04,40.3
236.34,70.9,32.91,17.0,8.99,9.14,13.63
64.29,12.86,6.9,4.49,2.68,1.84,5.11
865.95,173.19,94.5,45.5,25.4,41.25,48.4
245.44,49.09,29.19,14.0,8.33,8.48,16.14
180.53,36.11,22.77,11.89,5.19,8.46,8.03
626.96,125.39,66.68,41.36,27.29,17.15,45.54
263.09,52.62,32.45,16.28,6.99,6.69,18.91
840.55,168.11,92.3,60.2,39.55,31.84,53.47
589.76,117.95,84.9,35.13,26.96,20.34,25.61
622.01,124.4,91.29,38.4,26.28,19.78,28.9
120.7,36.21,16.51,9.55,5.93,4.86,8.47
949.24,142.39,101.43,48.61,34.38,46.77,46.67
443.68,66.55,59.62,26.9,13.09,13.2,27.38
267.92,80.38,34.02,16.66,10.97,10.38,12.32
403.76,80.75,57.53,22.77,20.05,17.63,21.67
86.93,17.39,10.35,5.99,3.1,2.5,6.05
499.21,99.84,74.4,29.29,14.29,14.47,24.5
158.0,47.4,22.13,9.41,3.79,7.54,9.08
121.99,24.4,13.43,6.13,5.42,2.9,8.47
106.51,15.98,14.22,6.33,3.16,3.15,8.13
876.78,263.03,110.42,68.3,37.13,31.95,69.06
217.61,32.64,29.76,16.48,10.51,7.63,11.26
1227.93,184.19,145.85,83.79,25.84,48.84,59.88
234.5,46.9,23.61,15.14,5.38,5.44,17.12
91.86,27.56,10.97,5.56,2.21,4.44,3.9
147.36,44.21,19.59,9.64,5.69,4.71,9.95
967.54,193.51,103.25,48.6,47.36,38.07,70.25
317.79,63.56,46.69,23.54,10.14,13.36,18.6
232.17,46.43,27.13,13.11,8.82,9.38,17.5
409.17,61.37,52.99,25.72,15.7,17.11,20.41
537.82,80.67,56.76,41.34,21.16,19.6,38.25
880.09,176.02,89.1,44.22,32.68,42.59,60.79
1147.0,172.05,144.72,70.16,56.53,38.78,82.16
269.96,53.99,33.38,15.3,7.6,12.28,14.1
124.62,37.39,18.68,9.92,2.89,3.38,5.79
258.61,77.58,36.52,17.96,6.88,11.37,19.72
443.34,133.0,59.92,33.29,13.61,17.24,23.26
166.52,33.3,21.98,12.08,7.25,7.77,6.93
167.4,33.48,24.65,8.79,6.89,6.52,8.82
473.97,142.19,68.56,36.19,16.29,12.99,30.84
346.26,51.94,36.34,19.92,15.03,7.54,16.66
369.57,55.44,42.77,26.28,9.51,15.09,16.25
196.23,58.87,21.73,14.21,9.65,5.38,10.23
299.4,89.82,39.97,23.6,8.95,14.19,18.97
171.87,34.37,24.53,10.13,6.43,8.43,7.51
733.82,146.76,108.17,54.83,15.97,35.81,39.02
824.11,164.82,123.44,55.43,23.49,21.62,53.22
82.2,16.44,11.77,6.38,1.95,2.99,4.0
171.14,51.34,20.03,10.72,6.62,8.33,8.29
108.73,21.75,11.97,7.7,2.66,2.18,6.7
214.02,42.8,24.32,11.9,6.15,5.18,14.97
336.75,50.51,45.43,25.95,11.31,12.26,14.44
112.89,22.58,14.94,8.96,5.32,3.71,7.81
172.19,25.83,24.45,10.12,3.83,4.37,7.4
161.25,48.37,18.28,12.43,5.75,5.26,11.51
424.93,127.48,54.49,21.91,17.25,9.99,22.81
380.54,76.11,55.3,28.34,17.23,11.06,23.7
202.09,30.31,20.91,12.95,5.64,4.51,11.14
414.7,82.94,48.95,32.8,8.63,13.58,21.53
232.47,34.87,24.18,13.44,5.25,11.38,16.97
289.68,86.9,39.85,14.95,10.28,11.85,19.21
1373.15,411.95,141.08,90.61,66.29,41.33,67.15
1052.03,315.61,154.96,75.53,40.04,48.31,64.4
127.29,25.46,18.04,8.19,4.99,2.75,5.43
699.17,104.88,71.91,44.39,29.36,17.46,43.9
688.99,137.8,97.09,38.93,20.41,16.94,49.34
143.67,43.1,15.16,9.34,4.84,5.28,9.8
693.07,138.61,93.6,53.52,18.42,16.25,43.64
1232.07,369.62,166.05,77.28,48.12,27.05,90.2
146.65,29.33,21.73,10.59,7.07,7.12,7.69
172.79,51.84,21.23,12.66,4.92,8.43,10.2
812.6,121.89,111.79,54.71,36.55,23.76,41.78
447.33,67.1,57.39,26.85,20.99,21.87,24.97
559.64,111.93,83.4,38.42,25.76,19.27,33.87
472.75,141.83,59.15,30.9,12.17,18.32,25.98
492.09,147.63,72.36,36.89,17.21,10.77,21.16
124.58,37.37,14.99,7.22,3.49,4.83,5.82
832.1,166.42,91.04,46.41,27.53,34.87,61.47
917.61,275.28,109.07,52.16,39.4,35.77,45.78
299.64,44.95,36.66,17.48,8.9,12.74,14.21
347.69,52.15,46.18,23.74,15.95,13.45,20.9
105.76,31.73,13.84,7.08,2.66,4.72,6.39
543.22,108.64,59.39,29.25,14.73,22.96,41.74
568.93,113.79,60.49,45.03,20.98,26.34,35.71
342.53,68.51,43.14,17.47,9.14,15.0,25.61
885.0,265.5,91.12,62.89,21.27,36.68,39.96
275.57,82.67,36.05,14.47,9.13,11.53,11.71
565.54,113.11,73.91,29.96,16.56,22.93,27.03
159.23,47.77,17.51,11.69,5.22,4.69,11.9
353.28,70.66,52.02,23.1,8.4,9.7,22.95
313.13,46.97,40.3,18.75,13.51,13.76,17.82
431.1,86.22,64.66,30.49,20.22,20.59,21.41
267.86,40.18,27.36,20.21,7.63,12.43,17.34
324.06,64.81,44.68,20.44,13.39,14.22,14.84
697.11,139.42,78.65,41.38,28.01,22.38,44.24
253.84,38.08,31.96,18.2,11.61,8.21,14.68
99.57,19.91,10.48,6.89,4.71,4.34,4.76
1459.39,218.91,156.89,84.2,38.48,51.12,62.34
1087.1,217.42,126.01,70.63,49.24,50.38,62.33
128.03,19.21,17.79,6.61,3.12,2.74,10.06
625.07,187.52,88.27,34.33,14.95,30.2,28.43
240.74,72.22,26.24,13.74,9.52,10.52,9.79
444.47,133.34,47.35,25.5,13.8,17.81,28.3
455.54,136.66,67.13,23.54,12.73,12.73,23.56
298.44,59.69,40.61,23.55,12.57,14.76,14.23
192.31,57.69,20.57,12.33,9.42,8.43,11.84
207.2,41.44,21.56,16.56,5.99,7.9,10.68
172.98,34.6,20.64,10.34,8.4,6.67,9.5
185.05,37.01,19.55,11.78,5.18,7.97,14.21
341.16,51.17,46.24,23.25,13.6,14.5,15.08
203.06,60.92,22.15,11.11,8.83,6.76,16.08
621.26,186.38,77.44,48.65,16.86,15.08,37.82
1183.11,354.93,139.98,67.37,34.33,27.41,63.62
226.35,67.9,29.67,12.58,11.17,7.76,12.92
435.99,87.2,63.8,23.68,12.73,12.57,20.77
536.92,80.54,64.96,37.49,17.23,12.21,22.58
525.16,105.03,65.08,31.61,22.08,18.79,27.07
382.55,76.51,54.81,25.22,15.23,18.13,25.84
652.13,97.82,85.84,41.43,30.09,26.0,29.77
529.48,79.42,54.36,28.81,18.83,12.9,21.81
133.75,20.06,13.57,9.73,3.99,5.81,6.31
721.57,108.24,105.79,41.5,32.53,18.87,56.51
732.11,146.42,80.61,38.61,25.6,25.95,53.06
195.48,58.65,28.46,11.99,6.96,9.46,9.18
371.09,74.22,45.19,29.03,17.65,15.79,21.07
621.89,186.57,76.42,37.71,19.58,27.75,31.72
304.49,91.35,45.56,21.25,13.25,10.64,16.96
849.36,127.4,106.8,62.31,42.24,42.46,41.63
2385.59,477.12,296.01079999999985,154.8612999999998,84.78,64.17,144.14
191.97,38.39,25.32,12.93,6.51,7.85,15.32
119.26,23.85,16.52,6.43,3.13,5.58,7.69
459.05,91.81,47.41,36.13,14.54,17.55,25.07
641.21,128.24,64.58,47.17,16.76,30.91,39.19
299.29,44.89,40.71,23.69,9.95,14.49,13.45
1151.38,172.71,144.3,75.54,37.7,53.25,59.08
123.37,37.01,17.27,7.02,4.84,5.05,9.66
626.68,188.0,68.27,48.5,24.93,29.34,36.7
221.72,44.34,31.22,12.66,10.81,5.86,11.06
1424.54,284.91,189.79,74.8,42.08,55.97,81.64
1772.45,354.49,199.77,90.13,39.95,49.83,138.36
194.96,38.99,28.37,9.86,8.82,4.5,11.99
231.94,46.39,34.44,13.26,4.87,9.73,10.84
716.07,107.41,88.07,40.39,16.39,19.6,46.54
264.12,52.82,32.37,20.44,8.14,6.36,19.9
347.16,104.15,44.63,21.09,11.3,12.73,23.36
367.39,55.11,49.88,18.88,14.76,8.64,27.2
77.51,15.5,10.47,5.72,3.47,2.85,5.01
356.04,53.41,45.07,25.48,17.08,14.74,20.62
207.33,31.1,30.25,11.54,4.23,4.58,12.93
242.65,72.79,26.24,15.37,6.48,9.78,16.05
1142.54,228.51,125.63,69.23,32.82,44.35,87.19
131.75,26.35,17.93,9.65,5.36,3.34,8.56
689.98,103.5,94.58,46.69,33.63,28.24,38.77
287.99,57.6,34.47,16.0,6.19,11.76,18.45
287.81,86.34,33.08,21.2,6.11,9.67,17.34
677.49,203.25,69.31,45.67,32.4,22.42,35.13
472.55,94.51,56.39,35.41,20.36,15.42,19.99
568.27,113.65,63.87,43.41,23.79,13.95,28.49
781.06,234.32,110.68,58.78,38.4,38.61,60.39
276.18,55.24,34.38,15.13,7.42,8.2,15.87
220.59,44.12,28.29,16.99,9.71,10.06,13.83
151.11,22.67,20.72,8.16,4.08,4.58,9.04
186.01,37.2,21.37,10.29,5.07,7.83,12.41
3809.98,528.6405999999998,296.01079999999985,154.8612999999998,87.33179999999972,84.96259999999958,147.2611999999998
974.43,194.89,116.66,72.37,38.19,32.23,59.96
122.15,24.43,12.87,7.58,3.41,3.17,7.62
124.98,18.75,17.86,6.9,4.47,3.66,5.87
529.32,105.86,77.35,29.89,12.77,16.95,33.71
557.75,111.55,61.86,44.19,26.75,15.85,26.59
558.48,111.7,74.07,29.09,23.29,20.89,30.63
293.58,58.72,39.46,17.92,14.52,13.39,16.05
325.62,97.69,36.55,22.47,8.86,12.29,25.79
467.97,93.59,56.82,34.27,11.32,20.58,30.34
385.61,77.12,46.23,27.16,8.99,9.22,15.67
60.99,12.2,8.01,3.71,2.99,2.33,4.74
299.54,59.91,37.27,17.08,6.16,7.1,17.48
182.18,27.33,24.38,13.28,3.67,8.69,7.64
414.17,82.83,43.31,25.98,17.18,20.23,21.34
3921.82,528.6405999999998,296.01079999999985,154.8612999999998,87.33179999999972,84.96259999999958,147.2611999999998
483.04,144.91,49.57,38.29,18.1,19.15,34.37
280.14,84.04,35.76,20.55,10.82,7.24,16.9
752.61,112.89,91.08,51.89,28.9,29.65,48.47
529.67,79.45,78.61,31.75,14.78,15.36,35.46
503.8,151.14,58.04,37.62,14.02,22.84,26.88
584.98,117.0,66.58,33.44,13.53,21.86,30.2
1865.6,373.12,219.57,95.84,63.56,44.74,100.74
145.68,43.7,18.07,8.96,3.71,4.68,11.51
525.85,105.17,68.69,37.25,15.42,18.59,29.51
171.57,25.74,20.23,13.44,5.87,7.91,7.16
561.45,84.22,74.95,32.47,24.7,24.42,42.3
172.63,34.53,23.48,9.03,7.31,5.91,10.22
257.81,77.34,35.34,14.74,11.06,5.51,12.13
284.3,56.86,40.45,20.56,5.85,6.69,13.58
785.84,117.88,84.6,51.49,35.64,27.34,46.37
750.6,225.18,103.08,53.36,20.1,26.53,47.48
132.89,26.58,15.25,10.56,3.78,3.43,7.86
376.17,75.23,51.28,24.53,15.75,9.35,20.19
204.07,61.22,20.71,10.75,7.52,5.2,9.14
131.54,26.31,14.56,10.02,3.62,2.7,9.72
302.62,90.79,37.55,16.18,12.8,11.56,21.4
281.27,42.19,36.46,17.46,10.39,7.48,15.85
2508.59,528.6405999999998,296.01079999999985,154.8612999999998,87.33179999999972,73.43,147.2611999999998
509.01,101.8,57.18,30.92,15.56,12.26,31.81
119.58,17.94,15.1,7.79,5.63,3.7,6.31
229.13,34.37,28.56,18.17,10.3,5.33,10.05
815.02,163.0,109.73,53.63,17.92,26.97,33.7
1913.82,528.6405999999998,214.68,149.85,45.4,62.69,99.44
101.22,30.37,14.82,6.05,2.5,4.99,7.01
80.01,16.0,11.98,4.24,2.34,2.38,5.63
1608.21,241.23,231.95,96.99,67.14,56.69,91.1
491.66,147.5,66.49,37.7,21.23,14.97,24.04
179.73,35.95,24.02,10.81,7.88,6.75,8.78
552.14,165.64,75.92,40.75,26.84,23.29,35.3
43.71,13.11,5.59,2.6,1.56,1.18,1.84
360.97,72.19,40.36,28.81,9.34,17.0,28.55
467.95,140.38,67.61,26.56,20.82,21.45,25.78
754.1,150.82,100.17,38.21,20.59,33.62,45.49
159.97,31.99,16.63,11.84,5.2,4.18,10.42
385.54,115.66,48.14,24.86,7.86,12.16,18.94
171.7,34.34,21.02,12.65,7.1,8.33,8.2
441.6,132.48,46.26,29.63,19.83,8.9,20.91
175.88,35.18,20.8,11.09,3.6,4.86,13.95
259.72,51.94,28.67,17.1,7.39,5.4,15.78
162.3,24.35,16.59,11.42,5.75,5.06,11.58
606.08,181.82,61.28,38.2,14.83,23.6,33.97
715.42,143.08,81.51,51.37,16.4,17.38,31.7
298.39,59.68,31.21,16.17,10.89,13.76,18.76
371.18,74.24,52.75,26.15,17.1,13.03,29.68
112.98,22.6,16.81,7.8,4.82,2.8,8.34
283.26,56.65,34.9,21.52,9.02,12.4,18.92
345.83,69.17,44.78,20.46,9.58,15.67,17.58
2929.94,528.6405999999998,296.01079999999985,154.8612999999998,87.33179999999972,84.96259999999958,147.2611999999998
147.9,22.18,20.34,10.42,6.4,6.93,8.72
1161.47,174.22,145.72,64.86,51.42,33.86,67.74
799.18,239.76,96.94,62.43,37.97,32.66,32.07
450.61,90.12,61.88,32.18,21.11,14.25,18.9
1469.97,440.99,170.67,105.08,47.99,57.2,74.56
484.83,72.72,66.66,37.58,20.91,22.74,31.6
491.48,98.3,50.92,32.79,23.5,10.41,28.91
345.02,69.0,43.38,27.08,7.74,7.86,18.04
958.11,191.62,104.49,55.86,41.25,45.91,73.85
865.48,173.1,118.34,52.6,34.54,20.65,51.66
218.23,43.65,32.4,16.06,8.0,5.26,8.9
125.3,25.06,16.63,8.52,4.88,4.24,8.52
306.04,61.21,41.7,20.47,15.09,7.78,20.19
189.82,56.95,20.53,12.32,8.79,8.52,15.17
342.16,68.43,43.62,23.45,16.94,14.0,26.03
968.8,193.76,134.61,62.6,40.81,20.83,68.24
249.7,49.94,35.68,18.84,5.07,6.38,12.76
347.88,104.36,51.76,22.48,10.54,16.02,20.74
377.1,113.13,51.79,20.47,8.52,7.87,24.81
709.7,212.91,91.32,40.89,24.73,25.32,41.79
59.66,11.93,8.4,4.6,1.59,1.65,4.07
221.57,44.31,25.01,15.64,6.23,6.05,10.1
426.29,85.26,61.23,23.59,9.9,10.74,20.02
940.27,188.05,130.77,60.7,37.12,34.08,75.04
242.88,48.58,26.32,16.74,11.55,9.54,15.8
80.23,12.03,11.44,5.29,3.22,3.17,3.65
591.03,118.21,83.66,47.09,23.48,13.0,33.8
216.55,43.31,31.67,14.17,10.29,7.15,17.29
138.99,27.8,20.16,10.82,4.37,4.34,6.08
218.47,43.69,25.43,16.45,10.23,5.27,14.12
310.59,93.18,39.0,21.1,12.75,7.02,22.1
221.92,44.38,31.13,13.68,4.98,7.16,17.49
61.66,18.5,8.54,4.93,2.54,1.29,3.33
737.86,221.36,103.57,38.97,16.84,35.84,37.71
998.25,299.48,111.45,75.16,41.29,30.71,54.17
606.27,121.25,84.68,41.71,16.57,28.7,33.85
144.89,28.98,15.22,9.77,2.92,3.91,8.47
306.41,61.28,38.05,24.46,11.6,13.91,14.07
358.13,107.44,36.82,21.29,14.61,8.16,19.16
581.23,116.25,71.29,29.58,27.77,14.66,31.54
614.48,184.34,68.98,44.53,12.7,15.18,48.56
200.09,40.02,25.2,10.56,9.94,4.98,14.41
384.41,115.32,52.14,22.69,16.51,16.68,22.42
519.01,103.8,52.71,41.49,25.17,18.97,41.09
1153.74,230.75,130.57,70.24,32.01,54.62,70.52
632.52,94.88,67.99,40.64,22.08,24.83,34.45
676.78,135.36,73.89,40.07,24.81,23.75,28.47
384.97,76.99,49.7,30.35,15.13,15.46,26.92
1112.62,222.52,114.82,64.69,41.34,34.64,82.37
499.65,99.93,67.6,34.58,19.16,15.69,28.97
180.77,27.12,20.18,9.43,8.92,3.75,14.36
1106.33,221.27,163.74,57.17,26.09,53.67,73.96
629.19,94.38,92.32,31.96,19.22,16.98,41.77
252.57,75.77,34.5,19.32,10.27,9.24,11.72
245.31,49.06,34.19,12.79,10.99,12.19,10.35
456.4,136.92,62.05,27.48,18.64,11.41,24.96
521.47,104.29,71.09,33.69,21.15,13.51,34.81
421.55,84.31,45.95,26.08,18.69,13.61,20.41
461.81,138.54,67.57,27.08,22.11,20.34,35.82
1402.58,280.52,196.47,103.06,50.69,33.6,56.79
848.39,169.68,109.14,65.91,22.29,41.47,47.19
419.31,83.86,45.41,30.19,19.36,12.93,21.38
764.45,229.33,106.11,39.5,36.58,26.87,48.91
157.6,23.64,22.92,10.86,7.54,7.11,12.14
494.94,148.48,61.17,31.96,19.87,21.76,25.99
1530.81,229.62,159.66,121.66,61.15,60.65,84.92
302.37,60.47,44.87,20.83,7.51,9.69,22.92
182.73,36.55,19.83,9.98,4.21,8.73,13.64
213.67,42.73,29.85,11.45,6.15,7.65,9.61
150.57,30.11,22.47,8.17,3.92,6.08,10.33
192.15,57.65,22.02,11.24,5.74,5.07,11.63
267.65,80.3,28.1,19.65,8.64,7.21,20.65
116.94,17.54,16.43,8.13,4.17,2.92,6.17
364.53,54.68,37.72,24.17,12.86,15.97,24.11
740.94,222.28,93.66,51.62,36.09,16.93,57.49
174.15,34.83,23.78,12.87,8.08,5.29,10.11
1213.82,364.15,160.28,65.66,37.47,60.4,81.96
541.71,108.34,69.5,39.0,25.25,21.75,39.38
821.04,164.21,92.38,60.15,17.1,18.92,51.11
212.69,42.54,24.63,16.79,9.69,8.73,11.78
713.17,142.63,84.1,55.41,15.18,30.23,42.15
150.29,45.09,19.96,11.6,4.03,7.01,9.31
733.85,146.77,98.33,53.4,19.24,16.05,36.65
413.05,61.96,44.92,22.49,12.11,10.33,20.83
560.43,112.09,56.68,40.19,17.02,17.75,44.06
140.56,28.11,14.57,9.16,5.69,5.29,10.26
175.92,52.78,23.6,10.51,6.14,4.33,10.44
580.5,116.1,60.8,33.93,28.21,18.89,38.97
168.58,25.29,19.49,11.59,7.54,3.98,10.78
521.48,78.22,66.5,32.09,21.78,14.65,29.71
120.59,24.12,15.38,7.72,5.98,5.02,6.07
709.56,141.91,90.03,40.91,30.09,31.28,42.16
134.3,26.86,19.61,8.29,3.15,6.36,6.11
560.0,168.0,68.42,35.97,19.73,21.12,39.56
593.84,89.08,64.31,37.34,15.41,24.69,36.85
206.17,61.85,21.18,11.62,4.44,9.17,9.37
573.48,114.7,72.08,31.33,28.58,14.11,43.98
443.39,88.68,57.77,35.05,21.03,19.28,24.48
233.93,46.79,30.15,12.72,9.05,9.49,15.15
160.66,48.2,17.61,8.73,6.44,5.8,11.45
74.89,14.98,7.65,5.83,2.15,2.08,4.31
476.19,142.86,68.49,29.33,10.51,20.25,34.83
102.95,30.89,12.59,5.28,4.54,3.22,8.23
388.53,77.71,40.91,24.38,14.44,11.05,28.88
291.59,43.74,38.79,20.8,9.87,6.04,22.99
619.81,185.94,82.21,42.3,24.88,29.11,31.72
282.72,56.54,36.94,19.19,9.83,8.82,17.14
276.59,55.32,30.87,22.11,8.85,8.15,18.84
646.52,129.3,92.13,40.62,26.9,13.06,51.48
470.67,70.6,49.14,26.33,16.94,15.41,28.91
463.6,139.08,49.07,28.79,11.66,17.52,32.38
524.01,78.6,62.49,37.97,21.6,23.84,37.69
105.39,15.81,15.28,7.04,3.31,2.48,5.13
659.53,131.91,93.08,42.68,28.46,28.99,27.71
587.62,117.52,85.47,36.56,28.97,21.41,33.1
159.61,23.94,21.55,12.64,5.61,6.7,9.79
296.14,44.42,38.82,20.7,12.52,11.27,12.94
348.86,69.77,48.56,25.15,12.62,16.49,14.86
323.28,48.49,35.56,21.2,15.89,10.81,25.16
470.22,94.04,49.64,31.18,17.38,16.95,29.17
1131.38,169.71,165.77,66.53,37.24,46.21,49.97
